"iWine","Barcode","Location","Bin","Size","Valuation","Price","StoreName","PurchaseDate","BottleNote","Vintage","Wine","Locale","Country","Region","SubRegion","Appellation","Producer","SortProducer","Type","Color","Category","Varietal","MasterVarietal","Designation","Vineyard","WA","WS","IWC","BH","AG","WE","JR","RH","JG","GV","JK","LD","CW","WFW","PR","SJ","WD","RR","JH","MFW","WWR","IWR","CHG","TT","CT","MY","BeginConsume","EndConsume"
"1592987","55795736","Cellar","A08","750ml","22.901","28","Winery","5/31/2014","","2011","De Ponte Cellars Pinot Noir Clay Hill","USA, Oregon, Willamette Valley, Dundee Hills","USA","Oregon","Willamette Valley","Dundee Hills","De Ponte Cellars","De Ponte Cellars","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Clay Hill","","","","","","","","","","","","","","","","","","","","","","","","","87.7333333333333","","2013","2022"
"960911","23648839","Cellar","A09","750ml","30.874","33","Winery","11/26/2010","","2009","Ayres Vineyard Pinot Noir Lewis Rogers Lane Ribbon Ridge","USA, Oregon, Willamette Valley, Ribbon Ridge","USA","Oregon","Willamette Valley","Ribbon Ridge","Ayres Vineyard","Ayres Vineyard","Red","Red","Dry","Pinot Noir","Pinot Noir","Lewis Rogers Lane","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","88.25","","2012","2017"
"2099243","66295735","Cellar","A10","750ml","35.7","35.7","Winery","6/28/2015","","2012","Kramer Vineyards Pinot Noir Heritage Estate","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Heritage","Estate","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","2019"
"2099243","66295736","Cellar","A10","750ml","35.7","35.7","Winery","6/28/2015","","2012","Kramer Vineyards Pinot Noir Heritage Estate","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Heritage","Estate","","","","","","","","","","","","","","","","","","","","","","","","","","","2017","2019"
"1008928","22715482","Cellar","A11","750ml","28.125","29.75","Winery","10/9/2010","","2007","Kramer Vineyards Pinot Noir Rebecca's Reserve","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Rebecca's Reserve","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89.5","","",""
"1542298","44547772","Cellar","A12","750ml","25.175","23","Winery","3/10/2013","","2010","Ardiri Pinot Noir","USA, California, Napa / Sonoma, Carneros","USA","California","Napa / Sonoma","Carneros","Ardiri","Ardiri","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","88","","",""
"906385","20624366","Cellar","A13","750ml","26.25","35","Winery","5/31/2010","","2007","Kramer Vineyards Pinot Noir Cardiac Hill","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Cardiac Hill","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1144437","27527724","Cellar","A14","750ml","33","34","Winery","5/21/2011","","2007","Kramer Vineyards Pinot Noir Heritage Estate","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Heritage","Estate","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"876232","37122202","Cellar","A16","750ml","28.875","28","Winery","6/16/2012","","2009","Kramer Vineyards Pinot Noir Rebecca's Reserve","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Rebecca's Reserve","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","88.3333333333333","","",""
"1368409","44547595","Cellar","A17","750ml","31.6562","29.75","Winery","3/10/2013","","2010","Kramer Vineyards Pinot Noir Rebecca's Reserve","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Rebecca's Reserve","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168889","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168890","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168891","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168892","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168893","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168894","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168895","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168896","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168897","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168898","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588288","63168899","Cellar","B01-06","750ml","25.72","0","Winery","3/8/2015","","2011","Kramer Vineyards Barbera","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Barbera","Barbera","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1734567","51163011","Cellar","B07","750ml","23.5384","28","Winery","11/30/2013","","2012","Random Wine Company Tempranillo","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Random Wine Company","Random Wine Company","Red","Red","Dry","Tempranillo","Tempranillo","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","88.6666666666667","","2014","2020"
"1734565","51163027","Cellar","B08","750ml","23.75","30","Winery","11/30/2013","","2012","Random Wine Company Petit Verdot","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Random Wine Company","Random Wine Company","Red","Red","Dry","Petit Verdot","Petit Verdot","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","91","","2015","2025"
"1960397","59487534","Cellar","B09","750ml","45","45","Winery","11/2/2014","","2012","Kason Vineyards Pinot Noir Dijon 777","USA, Oregon, Willamette Valley","USA","Oregon","Willamette Valley","Willamette Valley","Kason Vineyards","Kason Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Dijon 777","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588293","57775203","Cellar","B10","750ml","37","34","Winery","9/1/2014","","2011","Kramer Vineyards Pinot Noir Heritage Estate","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Heritage","Estate","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1588293","57775204","Cellar","B10","750ml","37","34","Winery","9/1/2014","","2011","Kramer Vineyards Pinot Noir Heritage Estate","USA, Oregon, Willamette Valley, Yamhill-Carlton","USA","Oregon","Willamette Valley","Yamhill-Carlton","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Pinot Noir","Pinot Noir","Heritage","Estate","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"904635","20581434","Cellar","B11","750ml","25","0","The Wine Cellar","5/29/2010","","2007","Wooldridge Creek Cabernet Sauvignon","USA, Oregon, Southern Oregon, Applegate Valley","USA","Oregon","Southern Oregon","Applegate Valley","Wooldridge Creek","Wooldridge Creek","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","87","","",""
"1751981","60653290","Cellar","B12","750ml","35.5972","39","Winery","12/7/2014","","2010","Three Rivers Winery Cabernet Sauvignon Champoux Vineyard","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Three Rivers Winery","Three Rivers Winery","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Champoux Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","","","2014","2019"
"1625406","60653289","Cellar","B13","750ml","37.5961","39","Winery","12/7/2014","","2010","Three Rivers Winery Cabernet Sauvignon","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Three Rivers Winery","Three Rivers Winery","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","91","","2015","2018"
"1122428","55795737","Cellar","B14","750ml","36.2396","44","Winery","5/31/2014","","2009","De Ponte Cellars Pinot Noir Dundee Hills","USA, Oregon, Willamette Valley, Dundee Hills","USA","Oregon","Willamette Valley","Dundee Hills","De Ponte Cellars","De Ponte Cellars","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","89.6666666666667","","2012","2016"
"2164179","71163930","Cellar","B15","750ml","38.45","37.8","Winery","12/6/2015","","2012","Foundry Vineyards Cabernet Sauvignon","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Foundry Vineyards","Foundry Vineyards","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","2015","2030"
"2164179","71163931","Cellar","B15","750ml","38.45","37.8","Winery","12/6/2015","","2012","Foundry Vineyards Cabernet Sauvignon","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Foundry Vineyards","Foundry Vineyards","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","2015","2030"
"1563246","44717306","Cellar","B16","750ml","41.1944","33.6","Winery","3/17/2013","","2010","Alexandria Nicole Cabernet Franc Wild One Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Cabernet Franc","Cabernet Franc","Wild One","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","91","","2013","2015"
"1789184","54319402","Cellar","B16","750ml","40.5447","35.7","Winery","3/29/2014","","2011","Alexandria Nicole Cabernet Franc Wild One Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Cabernet Franc","Cabernet Franc","Wild One","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","88.5","","2014","2017"
"1672505","50091459","Cellar","B17","750ml","35.9606","34","Winery","10/26/2013","","2010","Alexandria Nicole Cabernet Sauvignon Alderdale Estate Grown Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Alderdale Estate Grown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","89.1666666666667","","2014","2016"
"1831313","60216162","Cellar","B17","750ml","38.8904","35.7","Winery","11/22/2014","","2011","Alexandria Nicole Cabernet Sauvignon Alderdale Estate Grown Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Cabernet Sauvignon","Cabernet Sauvignon","Alderdale Estate Grown","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","89","","2015","2017"
"1580451","54318467","Cellar","C01","750ml","26.795","20","Winery","3/29/2014","","2007","Page Cellars Syrah Red Moutain Silver Top Syrah","USA, Washington, Columbia Valley, Red Mountain","USA","Washington","Columbia Valley","Red Mountain","Page Cellars","Page Cellars","Red","Red","Dry","Syrah","Syrah","Red Moutain","Silver Top Syrah","","","","","","","","","","","","","","","","","","","","","","","","","87.5","","",""
"688198","21462400","Cellar","C02","750ml","47","45","Winery","7/17/2010","","2007","Standish Pinot Noir Day Ranch","USA, California, North Coast, Anderson Valley","USA","California","North Coast","Anderson Valley","Standish","Standish","Red","Red","Dry","Pinot Noir","Pinot Noir","Unknown","Day Ranch","","","","","","","","","","","","","","","","","","","","","","","","","92.3333333333333","","2011","2014"
"2173297","69554495","Cellar","C03,C06","750ml","38.1071","36","Winery","11/1/2015","","2012","Fidelitas Boushey Vineyard","USA, Washington, Columbia Valley, Yakima Valley","USA","Washington","Columbia Valley","Yakima Valley","Fidelitas","Fidelitas","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Boushey Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","89","","2015","2022"
"2173297","69554496","Cellar","C03,C06","750ml","38.1071","36","Winery","11/1/2015","","2012","Fidelitas Boushey Vineyard","USA, Washington, Columbia Valley, Yakima Valley","USA","Washington","Columbia Valley","Yakima Valley","Fidelitas","Fidelitas","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Unknown","Boushey Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","89","","2015","2022"
"2132054","71163936","Cellar","C04","750ml","24.348","22.5","Winery","12/6/2015","","2012","Foundry Vineyards Sangiovese","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Foundry Vineyards","Foundry Vineyards","Red","Red","Dry","Sangiovese","Sangiovese","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","88","","2014","2020"
"2132054","71163937","Cellar","C04","750ml","24.348","22.5","Winery","12/6/2015","","2012","Foundry Vineyards Sangiovese","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Foundry Vineyards","Foundry Vineyards","Red","Red","Dry","Sangiovese","Sangiovese","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","88","","2014","2020"
"1589264","56389838","Cellar","C05","750ml","40.4297","42","Winery","6/28/2014","","2011","Darby Syrah Discovery Vineyard","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Darby","Darby","Red","Red","Dry","Syrah","Syrah","Unknown","Discovery Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","90","","2014","2016"
"1444769","50091148","Cellar","C07","750ml","27.4969","28","Winery","10/26/2013","","2010","Darby Syrah The Dark Side Columbia Valley","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Darby","Darby","Red","Red","Dry","Syrah","Syrah","The Dark Side","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","88.6666666666667","","2015","2018"
"1444769","50091149","Cellar","C07","750ml","27.4969","28","Winery","10/26/2013","","2010","Darby Syrah The Dark Side Columbia Valley","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Darby","Darby","Red","Red","Dry","Syrah","Syrah","The Dark Side","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","88.6666666666667","","2015","2018"
"1040562","23648775","Cellar","C08","750ml","25","25.5","Winery","11/26/2010","","2008","Kramer Vineyards Carmine","USA, Oregon, Willamette Valley","USA","Oregon","Willamette Valley","Willamette Valley","Kramer Vineyards","Kramer Vineyards","Red","Red","Dry","Carmine","Carmine","Unknown","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1718227","56389814","Cellar","C09","750ml","29.3562","28","Winery","6/28/2014","","2011","Darby Syrah The Dark Side Columbia Valley","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Darby","Darby","Red","Red","Dry","Syrah","Syrah","The Dark Side","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","86.1111111111111","","2016","2018"
"1718227","60215547","Cellar","C09","750ml","29.3562","28","Winery","11/22/2014","","2011","Darby Syrah The Dark Side Columbia Valley","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Darby","Darby","Red","Red","Dry","Syrah","Syrah","The Dark Side","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","86.1111111111111","","2016","2018"
"2182040","71163935","Cellar","C10","750ml","32.558","32.4","Winery","12/6/2015","","2012","Foundry Vineyards Artisan Blend","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","Foundry Vineyards","Foundry Vineyards","Red","Red","Dry","Red Blend","Red Blend","Artisan Blend","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","91","","2016","2022"
"1559211","47484986","Cellar","C11","750ml","42.8894","36","Winery","7/5/2013","","2010","Alexandria Nicole Petit Verdot Little Big Man Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Petit Verdot","Petit Verdot","Little Big Man","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","89.75","","2014","2015"
"1859746","56389925","Cellar","C11","750ml","42.4166","36","Winery","6/28/2014","","2011","Alexandria Nicole Petit Verdot Little Big Man Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Petit Verdot","Petit Verdot","Little Big Man","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","88","","2015","2016"
"906931","25367780","Cellar","C13","750ml","34.6987","36","Winery","2/13/2011","","2008","L'Ecole No. 41 Syrah Estate Seven Hills Vineyard","USA, Washington, Columbia Valley, Walla Walla Valley","USA","Washington","Columbia Valley","Walla Walla Valley","L'Ecole No. 41","L'Ecole No. 41","Red","Red","Dry","Syrah","Syrah","Estate","Seven Hills Vineyard","","","","","","","","","","","","","","","","","","","","","","","","","90.1153846153846","","2012","2015"
"1636586","62946855","Cellar","C14","750ml","37.3811","39","Winery","2/22/2015","","2011","Guardian Cellars Gun Metal","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Guardian Cellars","Guardian Cellars","Red","Red","Dry","Red Bordeaux Blend","Red Bordeaux Blend","Gun Metal","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","90.8181818181818","","2015","2020"
"1805289","60653347","Cellar","C15","750ml","47.8343","50","Winery","12/7/2014","","2011","Long Shadows Wineries Chester-Kidder","USA, Washington, Columbia Valley","USA","Washington","Columbia Valley","Columbia Valley","Long Shadows Wineries","Long Shadows Wineries","Red","Red","Dry","Red Blend","Red Blend","Chester-Kidder","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","90.875","","2015","2020"
"1820051","56389939","Cellar","C16","750ml","25.0888","20","Winery","6/28/2014","","2012","Alexandria Nicole Syrah Jet Black Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Syrah","Syrah","Jet Black","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","88.8333333333333","","2015","2016"
"1820051","56389940","Cellar","C16","750ml","25.0888","20","Winery","6/28/2014","","2012","Alexandria Nicole Syrah Jet Black Destiny Ridge Vineyards","USA, Washington, Columbia Valley, Horse Heaven Hills","USA","Washington","Columbia Valley","Horse Heaven Hills","Alexandria Nicole","Alexandria Nicole","Red","Red","Dry","Syrah","Syrah","Jet Black","Destiny Ridge Vineyards","","","","","","","","","","","","","","","","","","","","","","","","","88.8333333333333","","2015","2016"
